duration,protocol,pkt_count,byte_count,packets_per_sec,bytes_per_sec
16.798908948898315,6,5,838,0.29763837730234877,49.88419203587365
16.79743456840515,6,3,186,0.17859870135424125,11.073119483962959
16.793421983718872,6,9,7117,0.5359241260492025,423.796889454686
16.79233717918396,6,4,878,0.23820388772079099,52.28575335471362
16.750680923461914,6,13,7546,0.776087853347591,450.4891493354555
16.749212980270386,6,12,5533,0.716451573822323,330.34387982990944
15.345558166503906,17,12,840,0.781985240927466,54.73896686492262
14.927531242370605,17,6,552,0.40194188192147134,36.978653136775364
14.925474405288696,17,2,128,0.1339990907954872,8.57594181091118
14.924990892410278,17,2,128,0.13400343185583105,8.576219638773187
14.924017190933228,17,2,128,0.13401217476585714,8.576779185014857
14.92353892326355,17,2,128,0.1340164695709207,8.577054052538925
12.005878686904907,17,1,93,0.08329252910832119,7.746205207073871
12.00515103340149,17,1,93,0.08329757761628628,7.746674718314624
12.004738330841064,17,1,93,0.08330044124584754,7.746941035863822
11.849620580673218,17,1,259,0.0843908877243719,21.85723992061232
11.829912185668945,17,1,269,0.0845314812405307,22.738968453702757
11.828678607940674,17,1,217,0.08454029677741798,18.345244400699702
11.828235149383545,6,35,27359,2.9590213212682115,2313.0246951022
11.576107025146484,6,7,3040,0.604693787366865,262.6098733707528
11.53652811050415,6,25,8608,2.167029782317021,746.1516946473965
11.520252466201782,6,6,2175,0.5208219192767566,188.79794573782425
11.519724369049072,6,6,2175,0.5208457952449506,188.80660077629457
11.519275426864624,6,6,2143,0.5208660942342891,186.03600665734692
11.518908977508545,6,8,3042,0.694510219294253,264.08751088663973
11.305920839309692,6,9,6963,0.7960430758287101,615.8719929994787
10.947530508041382,6,4,327,0.36537920557169,29.869750055485657
10.945570707321167,6,4,327,0.36544462659443777,29.87509822409529
10.941779851913452,6,4,327,0.3655712374162323,29.885448658776994
10.936548471450806,6,10,7182,0.9143652612251838,656.6971306119269
10.004854440689087,6,14,7295,1.3993207080617702,729.1460403793296
9.599298000335693,6,11,7565,1.1459171284832832,788.0784615432761
